"QID","Domain","Question"
"APL1","Active Projects and Learning","How do seasons of high productivity and dormancy cycle in your project life, and what triggers these shifts?"
"APL2","Active Projects and Learning","How do you determine when to seek guidance versus figuring something out independently?"
"APL3","Active Projects and Learning","How do you integrate new knowledge or skills into your existing frameworks of understanding?"
"APL4","Active Projects and Learning","How do you know when to abandon a project versus push through resistance?"
"APL5","Active Projects and Learning","How do you track or organize your learning and progress over time?"
"APL6","Active Projects and Learning","How do you typically choose what to work on next?"
"APL7","Active Projects and Learning","How does your approach to learning differ when you're acquiring knowledge for practical use versus pure interest?"
"APL8","Active Projects and Learning","How has your relationship with perfectionism evolved in your project work over time?"
"APL9","Active Projects and Learning","What are you learning right now that feels especially meaningful?"
"APL10","Active Projects and Learning","What connections have you discovered between seemingly unrelated areas of interest or learning?"
"APL11","Active Projects and Learning","What creative or intellectual pursuit intimidates you most, and how do you approach that discomfort?"
"APL12","Active Projects and Learning","What kinds of problems or challenges energize you to take action?"
"APL13","Active Projects and Learning","What patterns do you notice in how you start or finish things?"
"APL14","Active Projects and Learning","What project failure taught you the most valuable lessons about your approach to challenges?"
"APL15","Active Projects and Learning","What role does physical space play in how you engage with different types of projects or learning?"
"APL16","Active Projects and Learning","What tensions exist between your desire for mastery and your curiosity about new domains?"
"APL17","Active Projects and Learning","What's a project that taught you more than you expected?"
"APL18","Active Projects and Learning","What's a skill or area of knowledge you pursued just for curiosity's sake?"
"APL19","Active Projects and Learning","When have you been most ""in flow"" — and what were you doing?"
"APL20","Active Projects and Learning","Who do you share your projects or learnings with — and why them?"
"CIE1","Community and Ideological Engagement","Have you ever gone through a period of disillusionment with a belief system or community? What was the outcome?"
"CIE2","Community and Ideological Engagement","How do you decide whether to align yourself with a larger group or stand apart?"
"CIE3","Community and Ideological Engagement","How do you navigate the tension between individual expression and group cohesion in communities important to you?"
"CIE4","Community and Ideological Engagement","How do you reconcile contradictions between different communities or ideological frameworks you participate in?"
"CIE5","Community and Ideological Engagement","How do you respond when core values of a community you belong to shift in directions you find uncomfortable?"
"CIE6","Community and Ideological Engagement","How do you tend to engage when societal events or crises occur?"
"CIE7","Community and Ideological Engagement","How has your approach to civic responsibility or community contribution changed across different life stages?"
"CIE8","Community and Ideological Engagement","How has your engagement with news and information sources evolved, and what prompted those changes?"
"CIE9","Community and Ideological Engagement","How has your worldview or political stance changed over time? What caused those shifts?"
"CIE10","Community and Ideological Engagement","What cause or issue have you felt most driven to support, and why?"
"CIE11","Community and Ideological Engagement","What communities have you felt a deep sense of belonging in, and what role did you play in them?"
"CIE12","Community and Ideological Engagement","What experience challenged your sense of belonging to an identity group you previously felt connected to?"
"CIE13","Community and Ideological Engagement","What experience exposed you to a worldview radically different from your own, and how did it affect you?"
"CIE14","Community and Ideological Engagement","What kind of legacy or impact do you hope to have on your community or the broader world?"
"CIE15","Community and Ideological Engagement","What kinds of communities energize you — and which ones deplete you?"
"CIE16","Community and Ideological Engagement","What responsibility do you feel toward bridging divides between different communities or belief systems you understand?"
"CIE17","Community and Ideological Engagement","What role has religion or spirituality played in your sense of community belonging throughout different life phases?"
"CIE18","Community and Ideological Engagement","What social or political issue have you completely reversed your position on, and what catalyzed that change?"
"CIE19","Community and Ideological Engagement","What traditions or cultural practices have mattered most to you at different points in your life?"
"CIE20","Community and Ideological Engagement","When have you chosen to stay silent in a group — and when have you spoken up? What made the difference?"
"DRH1","Daily Routines and Health","Have you ever consciously redesigned your daily routine? What was the motivation and result?"
"DRH2","Daily Routines and Health","How do seasons or natural cycles affect your energy patterns and routine adjustments?"
"DRH3","Daily Routines and Health","How do you balance discipline and flexibility in your day-to-day life?"
"DRH4","Daily Routines and Health","How do you typically respond to disruption in your daily structure?"
"DRH5","Daily Routines and Health","How has your approach to rest and recovery changed compared to your younger self?"
"DRH6","Daily Routines and Health","How has your concept of ""health"" changed over time?"
"DRH7","Daily Routines and Health","How has your definition of ""balance"" in daily life changed as you've moved through different life stages?"
"DRH8","Daily Routines and Health","How has your relationship with preventative health measures versus reactive care evolved over time?"
"DRH9","Daily Routines and Health","How have major life transitions (moves, career changes, relationships) impacted your health habits and routines?"
"DRH10","Daily Routines and Health","What do you know now about your energy rhythms that you wish you had known earlier?"
"DRH11","Daily Routines and Health","What environmental factors have you discovered significantly impact your physical or mental wellbeing?"
"DRH12","Daily Routines and Health","What has been your relationship with food, movement, or sleep across different life stages?"
"DRH13","Daily Routines and Health","What health assumption or conventional wisdom did you follow for years before realizing it didn't serve you?"
"DRH14","Daily Routines and Health","What health practice did you initially resist that later became essential to your wellbeing?"
"DRH15","Daily Routines and Health","What role does anticipation or planning play in maintaining your sense of control over daily life?"
